Reference,Value,Footprint,Datasheet,Description
BUFF1,ADA4084-2,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,,
BUFF2,ADA4084-2,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,,
C1,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C2,10u,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C3,10u,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C4,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C5,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C6,10u,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C7,10u,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C8,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C9,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C10,10u,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C11,10u,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C12,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C13,220p,Capacitor_SMD:C_0805_2012Metric,~,Unpolarized capacitor
C14,220p,Capacitor_SMD:C_0805_2012Metric,~,Unpolarized capacitor
C15,220n,Capacitor_SMD:C_0805_2012Metric,~,Unpolarized capacitor
C16,220n,Capacitor_SMD:C_0805_2012Metric,~,Unpolarized capacitor
C17,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C18,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C19,820p,Capacitor_SMD:C_0805_2012Metric,~,Unpolarized capacitor
C20,680p,Capacitor_SMD:C_0805_2012Metric,~,Unpolarized capacitor
C21,150p,Capacitor_SMD:C_0805_2012Metric,~,Unpolarized capacitor
C22,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C23,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C24,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C25,10u,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C26,50n,Capacitor_SMD:C_0805_2012Metric,~,Unpolarized capacitor
C27,10u,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
C28,100n,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
CComp1,10p,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
CComp2,10p,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
Cref1,4.7u,Capacitor_SMD:C_0201_0603Metric,~,Unpolarized capacitor
Crf1,100p,Capacitor_SMD:C_0805_2012Metric,~,Unpolarized capacitor
D1,BAV99,Package_TO_SOT_SMD:Diodes_SOT-553,,
D2,BAV99,Package_TO_SOT_SMD:Diodes_SOT-553,,
DIFF1,ADA4084-2,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,,
J1,VCM,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,VMIC,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
